Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
4,2024-09-28,la plus confortable,Merci pour votre chaleureuse accueil produit de bon qualité,"bouthaina, Tunisia",Yes,"Bonsoir Bouthaina, Merci beaucoup pour votre retour Nous sommes ravis de savoir que vous appréciez le rapport qualité-prix de nos produits. Votre satisfaction est notre priorité. Au plaisir de vous revoir bientôt Passez une excellente soirée  Sportivement Hassine Conseiller Service Client",2024-09,Tunisia
5,2024-09-18,Très bien,Chaussure parfait,"aymen, Tunisia",Yes,"Bonjour Aymen, Merci pour votre retour Nous sommes ravis que notre produit vous ait apporté satisfaction. Passez une belle soirée  Sportivement Hassine Conseiller Service Client",2024-09,Tunisia
4,2024-09-06,Merci,Il faut vérifier les prix de quelques articles car les sont un peu élevés par rapport leurs qualités,"-Salwa, Tunisia",Yes,"Bonsoir Salwa, Merci pour votre retour nous faisons de notre mieux pour vous offrir un bon rapport qualité prix. Malgré les hausses de prix sur certains produits, entraînées par l'augmentation des frais d'importation et des coûts de transport internationaux, nos prix restent toujours les plus compétitifs du marché. Toute l'équipe reste à votre disposition pour échanger avec vous, sans aucun souci. Je vous souhaite une belle soirée 😃  Sportivement Hassine Conseiller Service Client",2024-09,Tunisia
5,2024-09-04,léger et confortable,"j'apprécie ce modèle, confortable et pas cher","Rania, Tunisia",Yes,"Bonsoir Rania,  Merci beaucoup pour votre avis  Je suis heureux de savoir que nos produits ont répondu à vos attentes  Je vous souhaite une excellente soirée :)  Rawen Conseillère Service Client",2024-09,Tunisia
4,2024-09-03,recommandé pour les pieds plats,je l'ai pris pour mon fils en vert militaire très léger. il a les pieds plats pas de soucis pour le moment,"khaoula, Tunisia",Yes,"Bonsoir Khaoula,  Je vous remercie pour votre avis et pour cette super note. C'est un plaisir de lire votre satisfaction :) Ravis de voir que nos produits vous plaisent.  Au plaisir de vous revoir.    Zaï Nour ✌️  Conseillère service clients🤝",2024-09,Tunisia
5,2024-08-26,Le meilleur,Practical and comfortable,"John, Tunisia",Yes,"Bonjour Omar,  Je vous remercie pour votre avis et pour cette super note.C'est un plaisir de lire votre satisfaction :)  Ravis de voir que nos produits vous plaisent.  Je vous souhaite une bonne journée, à bientôt.    Zaï Nour ✌️  Conseillère service clients🤝",2024-08,Tunisia
5,2024-07-22,Très bonne qualité,Très bonne qualité,"Rafik, Tunisia",Yes,"Bonjour Rafik,  Je vous remercie infiniment pour votre retour.  C'est avec joie que j'apprends que nos produits ont répondu à vos attentes.  Excellente journée à vous, à très bientôt.  Marwen Sportivement Service Client",2024-07,Tunisia
4,2024-07-22,CHAUSSURES EKIDEN ONE BLUE JEAN,"Léger, souple et bon prix","Marouen, Tunisia",Yes,"Bonjour Marouen,  Je vous remercie pour votre retour d'expérience.  Nous sommes ravis que la chaussure EKIDEN ONE BLUE JEAN ait été à la hauteur de vos attentes.Votre avis est précieux pour nous et nous encourage à continuer d'améliorer nos services.  Au plaisir de vous accueillir prochainement dans nos allées  Passez une agréable journée :)  Marwa Service relation client DECATHLON TUNISIE",2024-07,Tunisia
5,2024-05-14,Très bon..Merci,Très légère et confort,"Ben tmessek, Tunisia",Yes,"Bonjour Anis,   Merci beaucoup pour votre retour d'expérience  Nous sommes ravis que notre produit ait répondu à vos attentes  Je vous souhaite une excellente journée  Rawen Conseillère Service Client",2024-05,Tunisia
4,2024-05-08,Bon,Bravo,"Fersi, Tunisia",Yes,"Bonjour Oussama,  Merci beaucoup pour votre retour d'expérience  Nous sommes ravis que notre produit ait répondu à vos attentes  Je vous souhaite une excellente journée et à bientôt  Rawen Conseillère Service Client",2024-05,Tunisia
