Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
1,2023-09-09,N'est pas confortable,N'est pas confortable et très étroit,"Faten, Tunisia",Yes,"Bonjour Faten,  Merci d'avoir partagé votre avis concernant le confort et la taille du produit que vous avez acheté.  Nous comprenons que la taille peut parfois être une préoccupation majeure lors d'un achat. C'est pourquoi vous devez essayer soigneusement les chaussures avant de les acheter.  Cependant, avec Decathlon, vous n'avez pas à vous inquiéter, et si vos chaussures sont encore neuves, vous pouvez revenir pour les remplacer.  Vous êtes toujours la bienvenue.  Bonne journée.  sportivement Marwen",2023-09,Tunisia
4,2023-04-04,Bon,Confortable,"Garsallah, Tunisia",Yes,"Bonjour monsieur, je vous remercie pour votre avis. Ravie que nos produits vous plaisent! Passez une excellente journée et à très vite! :)  Asma Ezzedini",2023-04,Tunisia
5,2023-03-02,génèrale,jolie,"Amal, Tunisia",Yes,"Bonjour Madame Amal ,  Je vous remercie pour votre avis et pour cette super note !C'est un plaisir de lire votre satisfaction :) Ravis de voir que nos produits vous plaisent.  Je vous souhaite une bonne journée, à bientôt dans votre décathlon Tunis City. Sportivement,    Zaï  Nour ✌️   Leader Sport Equitation 🐴",2023-03,Tunisia
5,2022-06-27,Complètement satisfait,"Excellent produit, confortable et nice looking","Mansour, Tunisia",Yes,"Bonjour, Merci pour votre retour sur votre venue dans notre magasin, nous sommes ravie de votre satisfaction. A très bientôt dans votre magasin  Asma, Leader sport Decathlon Mall Of Sousse",2022-06,Tunisia
5,2022-06-21,Perfect,Excellent,"Mohamed, Tunisia",Yes,"Bonjour Mr Mohamed,  Merci pour votre avis très positif. Nous sommes ravis que nos services et nos produits aient été à la hauteur de vos espérances ! Bienvenue dans votre magasin Decathlon Azur City  Excellente journée  Ines",2022-06,Tunisia
4,2025-05-15,No Title,"rengi, hafifliği ve taban rahatlığı harika","Özgür, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-15,No Title,Très bien,"P., France",Yes,No response,2025-05,France
5,2025-05-15,No Title,Sağlam ve rahat,"sE, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-15,No Title,"Scarpe acquistate per delle lunghe camminate estive in città. Molto comode, facili da pulire, comode","Alessandra, Italy",Yes,No response,2025-05,Italy
5,2025-05-14,No Title,Au top. Je les ai porté lors du semi a lyon. Trop confortable,"Kristin, France",Yes,No response,2025-05,France
5,2025-05-14,On numera,Gayet sportif kullanışlı,"Mehmet Ali, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-14,No Title,"Könnyű, jól néz ki.","Márta, Hungary",Yes,No response,2025-05,Hungary
5,2025-05-14,No Title,Très bien,"MELANIE, France",Yes,No response,2025-05,France
4,2025-05-13,No Title,belle e comode,"Antonella, Italy",Yes,No response,2025-05,Italy
5,2025-05-13,No Title,Wygodne. Lekkie.,"PIOTR, Poland",Yes,No response,2025-05,Poland
4,2025-05-13,No Title,Légère et confortable je recommande,"PIERRETTE, France",Yes,No response,2025-05,France
5,2025-05-12,Muy ligeros,"Son increíblemente cómodos, ligeros como una pluma y muy frescos, perfectos para entrenar o caminar durante horas sin que los pies se resientan. Se ajustan bien y la ventilación es excelente.","ADRIAN, Spain",Yes,No response,2025-05,Spain
5,2025-05-12,No Title,İnanılmaz rahat bir ayakkabı. Pahalı markalara para vermeye asla gerek yok. Benzer bir modelini de eşime aldım. Ama maalesef kızım için numarasını bulamadım.,"hilal, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-12,No Title,"Inizialmente non le trovavo comode, sentivo molto l'imbottitura nel tallone, ma con l'uso prolungato si è adattata ed ora la calzo molto bene. Ottima per camminate in città e in natura, anche se ahimè si sporcano facilmente e restano invariabilmente macchiate. Unica pecca!","Sa, Italy",Yes,No response,2025-05,Italy
