Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
5,2023-11-27,Maz,Merci decathlon,"Zarrouk, Tunisia",Yes,"Bonjour,  merci pour votre avis. Nous sommes ravis que nos produits vous plaisent  Passez une excellente journée et à bientôt :)  Asma Conseillère service client",2023-11,Tunisia
5,2023-11-17,Bon produit en qualité et prix,Bon produit,"Diraida, Tunisia",Yes,"Bonjour Eya, Je vous remercie pour votre avis Votre satisfaction envers notre produit nous remplit de bonheur. Je vous souhaite une excellente soirée  Sportivement Hassine Conseiller Service Client",2023-11,Tunisia
4,2023-10-26,Uu,Gg,"Ahmed, Tunisia",Yes,"Bonjour Mr.Ahmed,  merci pour votre avis. Nous sommes ravis que nos produits vous plaisent.  Passez une excellente journée et à bientôt :)  Asma Conseillère service client",2023-10,Tunisia
5,2023-07-10,souplesse et légèreté,"pour un prix meilleur, sera plus important","Taoufik, Tunisia",Yes,"Bonjour monsieur Taoufik, Merci beaucoup pour la note!  Nous ferons de notre mieux pour vous satisfaire. Bonne journée, et à très vite.  sportivement Marwen",2023-07,Tunisia
5,2023-05-10,10/10,super,"Imen, Tunisia",Yes,"Bonjour madame, je vous remercie pour votre avis. Nous sommes ravis que nos produits aient été à la hauteur! Vous etes la bienvenue Passez une excellente journée :)  Asma Ezzedini",2023-05,Tunisia
1,2023-05-02,Réclamation,J'ai acheté un chaussures kalenji même lbsto 2 fois nal9h maflou9 st8rbet w même prix mt3o mouch R5is comme même,"Rihab, Tunisia",Yes,"Bonjour,  Je suis Meriem , leader caisse chez DECATHLON AZUR City,  J'ai voulu vous appeler pour avoir plus de détails... et de m'excuser directement, mais malheureusement, je ne trouve pas votre numéro dans les informations. Pensez, s'il vous plaît, à compléter vos coordonnées sur votre compte clients : Numéro de téléphone, adresse... Merci  Meriam Sportif satisfait c'est mon métier",2023-05,Tunisia
5,2023-04-24,un bon produit,très confortable,"Feten, Tunisia",Yes,No response,2023-04,Tunisia
1,2023-02-28,Cette paire de chaussure m'a causé des douleurs,Des douleurs des la première utilisation ! On ne sens pas l'amorti ! Trop serré au niveau de la couture en haut qui m'a laissé une trace bleutée au pieds malgres que j'ai pris une taille en dessus ... Je suis très déçue ...,"Samar, Tunisia",Yes,No response,2023-02,Tunisia
5,2022-12-14,Cc,Bien,"Mahmoud, Tunisia",Yes,"Bonjour,  Merci pour votre avis. Au plaisir de vous revoir prochainement    Meriam Sportif satisfait c'est mon métier",2022-12,Tunisia
5,2022-12-05,chaussure,g,"Oumayma, Tunisia",Yes,"Bonjour madame, merci pour votre avis. Vous etes la bienvenue. Bonne journée. :)  Asma, Leader sport Decathlon Mall Of Sousse",2022-12,Tunisia
4,2022-11-21,Chaussures,Bon,"Jemai, Tunisia",Yes,Bonjour Merci pour votre avis.  A la prochaine      Marwa sportivement,2022-11,Tunisia
4,2022-11-18,.,.,"Mohamed Taher, Tunisia",Yes,bonjour  Merci pour votre avis. A la prochaine     meriam :) Sportifs satisfaits c'est mon métier,2022-11,Tunisia
4,2022-11-17,Perfect,Bon produit,"Majed, Tunisia",Yes,No response,2022-11,Tunisia
5,2022-09-26,Running,Courir 🏃 avec des chaussures de sport est confortable léger et très agréable,"Hayfa, Tunisia",Yes,bonjour  Merci pour votre avis. je suis content que vous êtes satisfait.    Sportifs satisfaits c'est mon métier Meriam :),2022-09,Tunisia
5,2022-08-15,bien,RAS,"Boulaares, Tunisia",Yes,"Bonjour  Merci pour votre avis.  Sportivement .  Islem,Le Sport c'est mon Passion 💪 ""Désir,Force,Défi""",2022-08,Tunisia
5,2022-07-18,Bon affaire,Excellent produit,"Ahmed, Tunisia",Yes,"Bonjour monsieur, merci pour votre avis. Vous êtes le bienvenu. Bonne journée.  Asma, Leader sport Decathlon Mall Of Sousse",2022-07,Tunisia
5,2022-07-08,Comme convenu,Comme convenu en Taille et en Largeur,"Wassim, Tunisia",Yes,"Bonjour  Merci bien pour votre avis :)  Sportivement .  Islem,Le Sport c'est mon Passion 💪 ""Désir,Force,Défi""",2022-07,Tunisia
5,2025-05-15,No Title,"bardzo je lubię - lekko szersze niż inne podobne modele, więc przy lekkim haluksie dają większą wygodę; są stabilne - można ćwiczyć, nadają się też na stepper, i chodzić przez 6-7 godzin po szkole; tylko przez dziurki w materiale nadają się na lekki deszcz i nic więcej, za to oddychają i są lekkie;","Marta, Poland",Yes,No response,2025-05,Poland
5,2025-05-15,No Title,Happy with all products purchased so far,"medha, India",Yes,No response,2025-05,India
5,2025-05-15,No Title,"Zona zadowolona,bardzo lekkie buviki do noszenia na codzien","Daniel, Poland",Yes,No response,2025-05,Poland
4,2025-05-15,No Title,Top,"Aurelie, France",Yes,No response,2025-05,France
5,2025-05-15,No Title,"Lekkie, oddychające buty","Anna, Poland",Yes,No response,2025-05,Poland
4,2025-05-15,No Title,trés légères,"Audrey, France",Yes,No response,2025-05,France
5,2025-05-15,No Title,"Perfekt, tolle Halt","Simone, Germany",Yes,No response,2025-05,Germany
5,2025-05-14,No Title,très satisfait de notre achat,"Giu83, Switzerland",Yes,No response,2025-05,Switzerland
5,2025-05-14,No Title,.,"P, Hungary",Yes,No response,2025-05,Hungary
5,2025-05-14,No Title,Megfelel minden szempontból.,"Anita, Hungary",Yes,No response,2025-05,Hungary
5,2025-05-13,comode e convenienti,"scarpe abbastanza comode, buon rapporto qualità/prezzo, belle esteticamente","Nicola, Italy",Yes,No response,2025-05,Italy
5,2025-05-13,No Title,"Perfette, leggere e comodissime!","Silvia, Italy",Yes,No response,2025-05,Italy
5,2025-05-13,No Title,Buone scarpe per palestra,"roberta, Italy",Yes,No response,2025-05,Italy
5,2025-05-13,No Title,"Nagyon szeretem, kényelmes cipő.","Kitti, Hungary",Yes,No response,2025-05,Hungary
5,2025-05-13,Córka zachwycona,"Wygodne, ładne, praktyczne buty, w których córka chodzi na codzień. Jest z nich bardzo zadowolona.","Karol, Poland",Yes,No response,2025-05,Poland
5,2025-05-13,No Title,Nagyon jó és kényelmes cipő.,"Gyöngyi, Hungary",Yes,No response,2025-05,Hungary
5,2025-05-13,No Title,好穿 雨天不滑,"Pandora, Taiwan",Yes,No response,2025-05,Taiwan
5,2025-05-13,No Title,Good Product,"Param, India",Yes,No response,2025-05,India
5,2025-05-12,No Title,molto comode per correre e fare ginnastica.,"Zanatta, Italy",Yes,No response,2025-05,Italy
4,2025-05-12,No Title,Bien,"Aurelie, France",Yes,No response,2025-05,France
5,2025-05-12,Bardzo fajne buciki,Buty wygodne .Córka nosi je cały dzień w szkole i na wf.Niezawodne.,"Ewa, Poland",Yes,No response,2025-05,Poland
5,2025-05-12,Bardzo wygodne,"Bardzo wygodne buty jak za taką cenę szczerze polecam, nawet przy szerokiej stopie fajnie się sprawdzają","Paulina, Poland",Yes,No response,2025-05,Poland
5,2025-05-12,No Title,Muy cómodos,"Beatriz, Spain",Yes,No response,2025-05,Spain
5,2025-05-11,No Title,Super confortável,"CArla, Portugal",Yes,No response,2025-05,Portugal
5,2025-05-11,No Title,Son muy cómodas y ligeras,"angel ruben, Spain",Yes,No response,2025-05,Spain
5,2025-05-10,No Title,Confortables,"Caroline, France",Yes,No response,2025-05,France
4,2025-05-10,No Title,Cómodas,"Carmen, Spain",Yes,No response,2025-05,Spain
5,2025-05-10,No Title,super leves 😉,"Oksana, Portugal",Yes,No response,2025-05,Portugal
5,2025-05-09,No Title,"Comode, leggere, adatte per lunghe passeggiate. Un ottimo rapporto qualità/ prezzo 😀","SILVIA, Italy",Yes,No response,2025-05,Italy
5,2025-05-09,No Title,Good product,"HARENDRA, India",Yes,No response,2025-05,India
5,2025-05-08,No Title,"Rapporto qualitá/prezzo ottimo, morbide, leggere e comode per tutti i giorni.","sandro, Italy",Yes,No response,2025-05,Italy
5,2025-05-08,Mukemmel,Urun parasinin hakkini veriyor,"Mehmet Ali, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-07,No Title,Ottimo rapporto,"Stefania, Italy",Yes,No response,2025-05,Italy
5,2025-05-07,No Title,Çok beğendim uzun süredir kullanıyorum her hangi bir yırtılma parçalanma olmadı tavsiye ederim,"Sarı, Türkiye",Yes,No response,2025-05,Türkiye
4,2025-05-06,No Title,"Scarpa comoda per passeggiate o ginnastica, buon rapporto qualità prezzo","Elena, Italy",Yes,No response,2025-05,Italy
5,2025-05-06,No Title,"Devo ricredermi..sono leggere, resistenti e costano poco. Sono di buona fattura!","Ilaria, Italy",Yes,No response,2025-05,Italy
5,2025-05-06,Super,Tres confortables mais j ai pris une pointure de plus.,"Isabelle, France",Yes,No response,2025-05,France
5,2025-05-06,No Title,"Las tengo en blanco y negro, son tan cómodas que las llevo tanto en verano como en invierno","ana, Spain",Yes,No response,2025-05,Spain
5,2025-05-06,buty,ten model to sztos wśród kalenji. to moja 4 lub 5 para takich,"Joanna, Poland",Yes,No response,2025-05,Poland
5,2025-05-06,No Title,Wygodne,"Maksym, Poland",Yes,No response,2025-05,Poland
5,2025-05-06,No Title,"È una scarpa molto leggera, flessibile, di buona vestibilità (pianta larga) e traspirante. Perfetta per un uso casual quotidiano e per la palestra. Per fare sport (come jogging) è bene usare una apposita soletta ammortizzante (silicone, gel o altro). L'uso delle solette rende ovviamente necessario acquistare una scarpa di numero appena superiore; ma questo è reso semplice dalla ampia disponibilità di taglie. Il design è carino ed il prezzo ed il rapporto qualità/prezzo sono decisamente imbattibili.","Francesca, Italy",Yes,No response,2025-05,Italy
5,2025-05-06,No Title,小朋友日常穿著舒服,"依蓉, Taiwan",Yes,No response,2025-05,Taiwan
