Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
5,2024-11-14,Vous avez bien fait de passer les prix,Vous retrouver votre principe de base qui est votre point fort c'est de votre des articles de sport de qualité sans trop gonfler les prix.j ai recommandé votre produit à plusieurs amis ils sont satisfaits.par la révision de prix espérons pour tt article.sachant que les potentiel acheteurs compare votre prix en Tunisie et en france.sachant que les frais de commercialisation ici bien basse main ouvre local,"Iheb, Tunisia",Yes,"Bonjour Iheb,  Merci infiniment pour votre avis. En réponse aux demandes de nos clients, nous avons récemment baissé les prix de plus de 200 articles afin de mieux répondre à leurs attentes et de les satisfaire pleinement.  La satisfaction de nos clients reste notre priorité absolue.  Je vous souhaite une excellente journée, à très vite.  Marwen Sportivement Service Client",2024-11,Tunisia
4,2024-11-10,Très bon,Excellent,"zied, Tunisia",Yes,"Bonjour Zied, Je suis ravi de savoir que notre produit a répondu à vos attentes, merci pour votre retour. Passez une belle journée  Sportivement Hassine Conseiller Service Client",2024-11,Tunisia
4,2024-11-02,CONFORTABLE,JE RECOMMANDE CE PRODUIT,"GHAZI, Tunisia",Yes,"Bonsoir Ghazi, Votre satisfaction est notre plus belle récompense, merci pour votre confiance. Bonne soirée  Sportivement Hassine Conseiller Service Client",2024-11,Tunisia
5,2024-09-06,exellent,j adore decathlon,"Sondes, Tunisia",Yes,"Bonsoir Sondos, Merci pour votre avis Je suis ravi de constater que notre produit vous a apporté satisfaction. Vos encouragements sont très appréciés Passez une belle soirée  Sportivement Hassine Conseiller Service Client",2024-09,Tunisia
5,2024-07-29,Couleurs,Il n ya que deux couleurs,"Selim, Tunisia",Yes,"Bonjour Selim,  Nous vous remercions d'avoir partagé votre avis avec nous.  Nous comprenons que vous aimeriez voir plus de couleurs pour nos chaussures. Actuellement, nous offrons ces deux couleurs en raison de la forte demande, mais nous travaillons constamment à élargir notre gamme de produits.  Nous apprécions vos suggestions et les prendrons en compte pour nos prochaines collections.  Restez à l'affût de nos mises à jour, car de nouvelles couleurs pourraient bientôt être disponibles.  Passez une excellente journée.  Oussama Conseiller Service Client",2024-07,Tunisia
5,2024-07-24,Excellente expérience,"Excellent produit, légèreté assurée","Jabeur, Tunisia",Yes,"Bonsoir Jabeur ,  Je vous remercie pour votre avis et pour cette super note.  C'est un plaisir de lire votre satisfaction :) Ravis de voir que nos produits vous plaisent.  Je vous souhaite une bonne journée, à bientôt.   Zaï Nour ✌️  Conseillère service clients🤝",2024-07,Tunisia
4,2024-07-06,satisfied,im really satisfied with it,"Amine, Tunisia",Yes,"Bonjour Amine, Merci infiniment Je suis enchanté de voir que notre produit a répondu à vos attentes. Passez une agréable journée  Sportivement Hassine Conseiller Service Client",2024-07,Tunisia
5,2024-05-09,bon,Pas de remise,"-amine, Tunisia",Yes,"Bonjour Amine,  Tout d'abord, merci infiniment pour votre retour.  Votre feedback est d'une grande valeur pour nous.  Vous êtes toujours le bienvenu.  Excellente journée à vous.  Marwen Sportivement Service Client",2024-05,Tunisia
4,2024-04-14,Bien,Je recommande ce produit C bien comme quantité /prix,"Jamila, Tunisia",Yes,"Bonjour madame Jamila,  Nous vous remercions d'avoir partagé votre avis avec nous,  Nous sommes ravis de savoir que vous êtes satisfaite de notre CHAUSSURES DE RUNNING JOG FLOW 100.1.  Au plaisir de vous accueillir prochainement dans nos allées.  Passez une excellente journée.  Oussama Conseiller Service Client",2024-04,Tunisia
4,2024-04-12,Avis favorable,"KALENJI CHAUSSURES DE RUNNING HOMME JOGFLOW 100.1 GRIS ORANGE , souple et agréable a porter. J'espère qu'il sera résistant et dégage pas de mauvaise odeur.","Mahdi, Tunisia",Yes,"Bonjour Mahdi,  Nous vous remercions pour votre retour positif  Nous sommes ravis que vous ayez trouvé notre produit à la hauteur de vos attentes  Votre satisfaction est notre priorité, et nous nous efforçons continuellement d'offrir les meilleurs produits à nos clients  Merci encore pour votre soutien  Rawen Conseillère Service Client",2024-04,Tunisia
4,2024-04-08,bien,Bon prooduit,"ramzi, Tunisia",Yes,"Bonsoir Ramzi, Je vous remercie pour votre avis Je suis ravi de constater que notre produit vous a apporté satisfaction. Passez une belle soirée    Sportivement Hassine Conseiller Service Client",2024-04,Tunisia
5,2024-04-08,bien,bonne qualité,"Nessib, Tunisia",Yes,"Bonsoir,  Merci pour votre retour d'expérience,  Nous sommes ravis de votre satisfaction envers notre CHAUSSURES DE RUNNING HOMME JOGFLOW 100.1 NOIR GRIS  Passez une excellente soirée.  Oussama Conseiller Service Client",2024-04,Tunisia
5,2024-04-03,Parfait,"Convient à l'activité demandée, souple et léger","Amir, Tunisia",Yes,"Bonjour Amir,  Nous vous remercions pour votre retour positif  Nous sommes ravis que vous ayez trouvé notre produit à la hauteur de vos attentes  Votre satisfaction est notre priorité, et nous nous efforçons continuellement d'offrir les meilleurs produits à nos clients  Merci encore pour votre soutien  Rawen Conseillère Service Client",2024-04,Tunisia
5,2024-03-19,Jolie,Bonne qualité,"Taha, Tunisia",Yes,"Bonjour Taha,  merci infiniment pour votre avis.  Votre feedback est d'une grande valeur pour nous.  Excellente journée à vous, à très vite  Marwen Sportivement Service Client",2024-03,Tunisia
5,2024-03-15,extremely light,i love it ! very light and comfortable the style is both fit for sports and everyday use,"Ahmed Yassin, Tunisia",Yes,"Bonjour Ahmed,  je vous remercie pour votre retour d'expérience.  Nous sommes ravis que nos produits vous plaisent.  Profitez bien de vos achats et à bientôt  Bonne journée.  Rawen Conseillère Service Client",2024-03,Tunisia
1,2024-03-13,وجعلي ساقي,وجعلي ساقي,"Med ali, Tunisia",Yes,"Bonjour Med Ali,   Nous vous remercions d'avoir partagé votre retour d'expérience avec nous, et nous sommes désolés d'apprendre que l'article que vous avez acheté ne répondait pas à vos attentes en termes de qualité. Nous nous excusons pour tout inconvénient que cela a pu vous causer.  Pour résoudre ce problème, nous vous encourageons vivement à vous rendre dans le magasin le plus proche de chez vous.  Notre équipe d'experts sur place se tiendra à votre disposition pour évaluer l'état de votre produit. Si celui-ci est enregistré dans votre compte Decathlon et est en parfait état, vous aurez la possibilité d'effectuer un échange ou un remboursement, après la vérification par l'expert.  Nous sommes là pour vous aider à trouver une solution satisfaisante et à garantir votre entière satisfaction.  Bonne journée   Rawen Conseillère Service Client",2024-03,Tunisia
5,2024-03-10,À recommander,Ce type de chaussures aide à pratiquer le sport. Il est bénéfique aussi pour soulager les maux de dos .,"aloui, Tunisia",Yes,"Bonjour, merci pour votre retour d'expérience.  Nous sommes ravis que nos produits aient été à la hauteur de vos attentes.  Profitez bien de vos achats et à bientôt  Bonne journée  Asma Conseillère service client",2024-03,Tunisia
5,2024-02-11,Excellent produit,Excellent produit très confortable et pratique,"Mazen, Tunisia",Yes,"Bonjour Mazen,  Nous vous remercions vivement d'avoir partagé votre avis avec nous.  Nous sommes ravis d'apprendre que vous êtes satisfait de notre CHAUSSURES DE RUNNING HOMME JOGFLOW 100.1  Passez une excellente journée.  Rawen Conseillère Service Client",2024-02,Tunisia
5,2024-01-29,Excellent produit,Confort,"Yousri, Tunisia",Yes,"Bonjour Yousri,  Merci pour votre avis positif sur cet article !  En espérant de vous revoir bientôt dans notre DECATHLON à Bollène ;)  Sportivement,  Manon",2024-01,Tunisia
4,2024-01-17,RAS,RAS,"Moez, Tunisia",Yes,"Bonjour Moez,  Merci infiniment pour votre retour.  Votre avis est précieux pour nous.  Vous êtes toujours le bienvenu.  Bonne journée  Rawen Conseillère Service Client",2024-01,Tunisia
5,2023-12-24,Toujours au rendez-vous,Merci pour la qualité au même temps on veut des promotions puisque on achète souvent,"Kouki, Tunisia",Yes,"Bonsoir,  Nous vous remercions énormément pour votre avis.  Nous sommes ravis de savoir que nos produits ont été à la hauteur de vos attentes.  Encore merci pour votre confiance en notre produit.  Nous prenons en considération vos commentaires  Excellente soirée à vous.  Rawen Conseillère Service Client",2023-12,Tunisia
3,2023-12-23,A good one,Recommended,"Ebtihel, Tunisia",Yes,"Bonsoir Ebtihel,  je vous remercie pour votre retour.  Votre feedback est d'une grande valeur pour nous, car il nous aide à améliorer nos produits.  Je vous souhaite une excellente soirée.  Marwen Sportivement Service Client",2023-12,Tunisia
4,2023-11-30,bon affaire,faite nous plus de promo svp...le pouvoir d achat se dégrade énormément,"Seif Allah, Tunisia",Yes,"Bonjour,  Je vous remercie pour votre retour d'expérience. Nous allons faire de notre mieux pour vous satisfaire.  Nous sommes déterminés à offrir à nos clients un excellent rapport qualité-prix.  À bientôt pour une prochaine visite.    Oussama Conseiller Service Client",2023-11,Tunisia
5,2023-11-23,Satisfait,Top,"Marwa, Tunisia",Yes,"Bonjour Mrwa,  Merci d'avoir pris le temps de nous partager votre expérience et merci pour ce retour au TOP  Nous sommes ravis que la CHAUSSURE DE RUNNING HOMME JOGFLOW 100.1 NOIR GRIS ait été à la hauteur de vos attentes.  Au plaisir de vous accueillir à nouveau  A très bientôt :)  Rawen Conseillère Service Client",2023-11,Tunisia
