Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
5,2025-05-13,No Title,Good Product,"Param, India",Yes,No response,2025-05,India
5,2025-05-13,Güzel,Rahat,"özkan, Türkiye",Yes,No response,2025-05,Türkiye
4,2025-05-13,kalite süper,Çok fazla ağır ama çok kaliteli ürün öyle kırılma yamulma gibi bir durum olması imkansız.,"Kenan, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-13,Wygodny leżak,"Wygodny i lekki leżak. miał być na kempingi, ale używamy na tarasie ;-)","Anna, Poland",Yes,No response,2025-05,Poland
5,2025-05-13,No Title,Un scaun pentru grădină sau camping de bună calitate cu reglaj și comoditate bună,"Miky, Romania",Yes,No response,2025-05,Romania
5,2025-05-13,No Title,好用好坐,"Han, Taiwan",Yes,No response,2025-05,Taiwan
5,2025-05-12,No Title,Assez confortable dommage qu’il n’y ait pas de t’épuise pied rétractable comme à l’ancienne,"Laetitia, France",Yes,No response,2025-05,France
5,2025-05-12,No Title,Aşırı rahat oturunca kalkmak istemez insan,"Seyit ali, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-12,No Title,Hep küçük sandalyeler den alıyorduk birde bunu deneyelim dedik gerçekten efsane birşey çok rahat saatlerce otur hiç rahatsızlık hissi yok kesinlikle tavsiye ederim.,"Mustafa, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-12,No Title,Přesně takovou jsme potřebovali. Lehce se dá složit a přenést. A cena super.,"Blanka, Czechia",Yes,No response,2025-05,Czechia
4,2025-05-12,No Title,"Calidad precio algo aceptable, tienen buen diseño y son estables y confortables","Eleazar, Spain",Yes,No response,2025-05,Spain
4,2025-05-12,No Title,Muy estables y cómodas. Relación calidad precio un poco altas.,"Eleazar, Spain",Yes,No response,2025-05,Spain
5,2025-05-11,confortable,top,"EG, France",Yes,No response,2025-05,France
5,2025-05-11,No Title,Ok,"faizal amin, Malaysia",Yes,No response,2025-05,Malaysia
5,2025-05-10,No Title,Muy cómoda y ligera,"Cristina, Spain",Yes,No response,2025-05,Spain
5,2025-05-10,Great chairs,We bought one of these to replace a broken chair when travelling. liked it so much we went back and bought another two.,"Glynn, United Kingdom",Yes,No response,2025-05,
5,2025-05-09,No Title,Very comfortable. Use it for dining and relaxing when campervaning,"Peter, United Kingdom",Yes,No response,2025-05,
5,2025-05-09,No Title,Very practical and comfortable. Reclining angle is good. I usually use it at my farm. Need to make custom cover if carrying inside a car everyday as a slight cut could ruin the net fabric. A good buy . Prices nearly doubled after Covid. Still a worthy purchase .,"Ajaybir, India",Yes,No response,2025-05,India
5,2025-05-08,No Title,"kaliteli ürün, esneme sarkma yapmadı. büyük arabası olanlar için ideal","mustafa, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-08,No Title,çok kaliteli malzemeden yapılmış. esneme sarkma yapmadı. bagajda taşıyacaksanız büyük arabaya ihtiyacınız olacak.,"mustafa, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-08,Bardzo wygodne krzesło,"Świetne, masywne i bardzo wygodne krzesło. Łatwo się składa i rozkłada. Do tej pory idealnie służyło mi na krótkich wypadach na ryby i pod namiot. Jest wygodniejsze od profesjonalnych foteli wędkarskich! Na plus również regulowane oparcie i możliwość rozłożenia bardziej na leżąco.","Anna, Poland",Yes,No response,2025-05,Poland
4,2025-05-08,bardzo solidne lecz trochę ciężkie,fotele są bardzo solidne lecz trochę ciężkie ale ogólnie jakoś ci wykonanie jest super cena mogłaby być troszkę mniejsza.,"Łukasz, Poland",Yes,No response,2025-05,Poland
5,2025-05-08,"sağlamlık, rahatlık ve konfor..",üründen çok memnun kaldım.,"ahmetcan, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-07,No Title,Très bien,"gerard, France",Yes,No response,2025-05,France
5,2025-05-07,No Title,"Çok rahat, sırt desteği güzel.","Kürşat, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-07,Odlicna!,Prezadovoljna sam! Cvrsta je i stvarno udobna za sjedenje.,"Iva, Croatia",Yes,"Poštovana Iva,  Hvala na objavljenoj recenziji, drago nam je da uživate u korištenju naših proizvoda. Slobodno istražite i ostalu ponudu na www.decathlon.hr.  Sportski pozdrav! Vaš Decathlon  Sara",2025-05,Croatia
5,2025-05-07,No Title,Peu encombrant et très confortable. J'ai acheté un 2eme.,"GUILLAUME, France",Yes,No response,2025-05,France
