Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
5,2025-05-12,très bonne autonomie.,petite et très efficace.,"JEAN, France",Yes,No response,2025-05,France
5,2025-05-11,Très bien.,RAS,"Céline, France",Yes,No response,2025-05,France
5,2025-05-11,No Title,au top légère et facile d utilisation,"Claire, France",Yes,No response,2025-05,France
5,2025-05-10,Linterna pequeña pero con muchos recursos.,"Vale la pena gastarse menos de diez euros en está linterna, por los recursos y sus valías.","Juanito , Spain",Yes,No response,2025-05,Spain
5,2025-05-08,No Title,Genial para niños,"Leticia, Spain",Yes,No response,2025-05,Spain
5,2025-05-08,No Title,Muy bien,"Almudena, Spain",Yes,No response,2025-05,Spain
3,2025-05-07,No Title,"Típica linterna para aventuras nocturnas de los niños en colonias y campamentos. Luz suficiente y con dos intensidades más luz roja con opción de parpadeo. Pequeña y manejable, para usos esporádicos. La única pega el precio, es el doble de lo que puede valer en muchas otras tiendas. Si suben precio al menos ofrecer cambios en el diseño, o cuerda para colgar del cuello...","Neus, Spain",Yes,No response,2025-05,Spain
5,2025-05-07,No Title,"Kicsi, jó fogni, és jól világít a sötétben.","Kristina, Hungary",Yes,No response,2025-05,Hungary
5,2025-05-07,Great value,would recommend to others,"Lucy, Ireland",Yes,No response,2025-05,Ireland
4,2025-05-07,No Title,"Used to explore pitch black tunnels and WWII bunkers in Singapore. Easy to use, has both red and white colours","Char, Singapore",Yes,No response,2025-05,Singapore
5,2025-05-06,No Title,"Bon fonctionnement, très pratique avec ses deux lumières blanche et rouge","Anne-Marie, France",Yes,No response,2025-05,France
5,2025-05-03,No Title,"Scarpa comoda e leggera per tutti i giorni e passeggiate, anche su terreni sconnessi","Silva, Italy",Yes,No response,2025-05,Italy
5,2025-05-02,Oldukça iyi,Ürünü deprem çantama koymak için yeni aldım. Oldukça hafif ve efektif bir el feneri. 3 farklı ışık modu var. İhtiyacımı karşıladı fakat bir tık daha ucuz olmasını isterdim. Yine de sağlam ürün. (Ben bu yorumu yazarken stoklar bitmiş),"Ahmet, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-02,No Title,Bien. Falta un poco de potencia,"Cristina, Spain",Yes,No response,2025-05,Spain
