Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
4,2025-05-12,No Title,Pas très epais,"Francis , France",Yes,No response,2025-05,France
4,2025-05-12,No Title,Un peu mince,"Francis , France",Yes,No response,2025-05,France
5,2025-05-11,Cumple perfectamente su misión,Muy buena relación calidad precio para uso ocasional.,"David, Spain",Yes,No response,2025-05,Spain
5,2025-05-11,Discreto,Fa il suo dovere senza troppe pretese,"Leonardo, Italy",Yes,No response,2025-05,Italy
5,2025-05-10,No Title,"Esterilla para dormir en tienda de campaña y no clabarte las piedrecitas del suelo, fácil de recoger y dos gomas negras para sujetar","Ana, Spain",Yes,No response,2025-05,Spain
5,2025-05-09,No Title,Used under my sleeping pad for extra r-value. Amazing lightweight and warm- no chills from the ground during winter camping! Would bring in summer too for a sit pad.,"Andrew D, Canada",Yes,No response,2025-05,Canada
3,2025-05-09,W porządku,"Używana sporadycznie jako dodatkowa warstwa do spania w namiocie - ok, choć bez rewelacji. Niezbyt izoluje od zimna","Joanna, Poland",Yes,No response,2025-05,Poland
5,2025-05-09,um pouco desconfortável,não foi uma boa experiência,"Catia, Portugal",Yes,No response,2025-05,Portugal
4,2025-05-08,Kalite / Performans,Yıpranmaya karşı dayanıklı. Hafif ve taşıması kolay. Uyku kalitesi iyi. Isı yalıtımı fena değil. Fiyat performans ürünü.,"Eren, Türkiye",Yes,No response,2025-05,Türkiye
4,2025-05-08,No Title,"Ottimo materassino pieghevole, perfetto per avere comodità e spazio ristretto in un peso contenuto.","Riccardo, Italy",Yes,No response,2025-05,Italy
5,2025-05-08,polecam,polecam,"Paweł, Poland",Yes,No response,2025-05,Poland
5,2025-05-08,gayet güzel ve kullanışlı,Yağmur ve rüzgarda bayağı konforlu,"Arif, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-07,No Title,Taille et aspect impect pour gym et randonnée,"Daniele, France",Yes,No response,2025-05,France
5,2025-05-07,top,j'ai testé pendant 3h à la maison et j'ai adore,"marion, France",Yes,No response,2025-05,France
4,2025-05-07,No Title,"Esterilla cómoda sin repelente de agua porque se inunda, recomendable para el verano","Miguel angel, Spain",Yes,No response,2025-05,Spain
5,2025-05-07,No Title,"Výrobek je dle mého soudu velice dobrý, skladný, lehký","Václav, Czechia",Yes,No response,2025-05,Czechia
5,2025-05-07,perfecta calidad,calidad precio perfecto,"Daniel, Spain",Yes,No response,2025-05,Spain
5,2025-05-06,No Title,"Super karimata, polecam.","Aleksandra, Poland",Yes,No response,2025-05,Poland
5,2025-05-06,No Title,uygun fiyatlı mat beklentimizi fazlasıyla karşılıyor.,"Mutlucan, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-06,básico,Menos que esto no se puede,"Carlos, Spain",Yes,No response,2025-05,Spain
5,2025-05-05,No Title,Bien etanche,"Francis , France",Yes,No response,2025-05,France
4,2025-05-05,No Title,Un peu fin,"Francis , France",Yes,No response,2025-05,France
5,2025-05-05,No Title,Utile pour utilisation ponctuelle pour s’isoler dunsol,"Alex, France",Yes,No response,2025-05,France
5,2025-05-04,No Title,Perfecto,"Daniel, Spain",Yes,No response,2025-05,Spain
4,2025-05-04,No Title,Cumple con su función,"JOSE, Spain",Yes,No response,2025-05,Spain
5,2025-05-02,No Title,Muy practico,"RAFAEL, Spain",Yes,No response,2025-05,Spain
5,2025-05-02,No Title,Muy resistente,"RAFAEL, Spain",Yes,No response,2025-05,Spain
5,2025-05-02,Amacına uygun,Kullanışlı,"sema, Türkiye",Yes,No response,2025-05,Türkiye
3,2025-04-30,No Title,Prodotto basico ma accettabile per il prezzo pagato,"SIMONA, Italy",Yes,No response,2025-04,Italy
4,2025-04-30,No Title,Super pour la pause pique nique Très bonne isolation Je recommande,"Véronique, France",Yes,No response,2025-04,France
4,2025-04-29,No Title,J utilise ce tapis lors de mes pauses en randonnée. Très confortable et très isolant. Très léger. Très bon rapport qualité prix. Je recommande,"Véronique, France",Yes,No response,2025-04,France
5,2025-04-28,No Title,bir kalın modeli alınabilir. çoğu durumda ince kalıyor.,"Semih, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-25,Amacına uygun,"Şişme yatağın altına soğuğu kesmesi için aldık. Gayet etkili, amacına uygun.","sema, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-24,Tapis,Très bien,"Laurie, France",Yes,No response,2025-04,France
5,2025-04-24,bien,bien,"DAMIEN, France",Yes,No response,2025-04,France
4,2025-04-23,Podstawowa karimata,Podstawowa karimata pod materac samopompujacy jako zabezpieczenie przed przepiciem.,"Piotr, Poland",Yes,No response,2025-04,Poland
4,2025-04-22,No Title,"Utilizzato in estate in campeggio sotto a un materassino gonfiabile per isolare dal freddo, non avendo notato alcun disturbo direi che ha svolto bene il suo lavoro","P., Italy",Yes,No response,2025-04,Italy
4,2025-04-22,No Title,Utilizzato sotto un materassino gonfiabile in campeggio per isolare dal freddo. Non ho avuto alcun disagio quindi direi che ha fatto il suo lavoro (sebbene fosse estate),"P., Italy",Yes,No response,2025-04,Italy
4,2025-04-22,No Title,Uyku kalitesi açısından bir beklentiniz olmazın zaten çok ince bir model yine de geceyi geçirirsiniz. 170Tl ye 3 tane almıştık 2 gece üzerinde uyuduk bel ağrısı dışında bir sıkıntımız yok şimdi de şişme matın altına koymak için kullanacağız.,"Furkan, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-21,Tavsiye edilir .,Gayet yumuşak plates vs içinde kullanılabilir.,"Özer, Türkiye",Yes,No response,2025-04,Türkiye
4,2025-04-20,Protection matelas gonflable,"Très bien pour protéger mon matelas gonflable...mais pour ce qui est de passer une nuit dessus sans matelas gonflable, à 50 ans, je suis réservé...xD","Nicolas, France",Yes,No response,2025-04,France
5,2025-04-17,Wszystko ok. Jestem zadowolony.,Polecam.,"Wojciech, Poland",Yes,No response,2025-04,Poland
5,2025-04-16,işlevini yerine getiriyor,Ürünü şişme yatağın altına hem soğuk geçirmemesi hemde yatağı patlama gibi risklerden korunmak için aldık. Üstüne yatmak içinde yeterli kalınlıkta olup kullanılabilir.,"Selman, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-15,Tappetino campeggio,Buono come rapporto qualità prezzo,"PASQUALE, Italy",Yes,No response,2025-04,Italy
4,2025-04-14,Amaca uygun,Şişme mat altında kullanmak için aldım gayet yeterli.,"Hüseyin Ali, Türkiye",Yes,No response,2025-04,Türkiye
4,2025-04-13,Léger,"Ce tapis n'est évidemment pas le matelas le plus confortable, mais ce n'est pas ce que l'on recherche en l'achetant ! Il est léger et peut être attaché sur le côté d'un sac à dos de rando. Son prix le rend abordable.","Grégoire, France",Yes,No response,2025-04,France
5,2025-04-10,Una buena esterilla,La he comprado para proteger el colchón de posibles pinchadas y para conseguir un aislamiento extra por el suelo! Están muy bien aún que el precio me parece elevado.,"Iris, Spain",Yes,No response,2025-04,Spain
5,2025-04-10,Za taką cenę super,"Izoluje dobrze od podłogi, może nadal jest twardo, ale za taką cenę nie narzekam","Weronika, Poland",Yes,No response,2025-04,Poland
5,2025-04-09,esterilla,necesaria para evitar el frío y proteger el colchón,"RAFAEL, Spain",Yes,No response,2025-04,Spain
4,2025-04-09,F/P Ürünü,Bu mat diğer kalın mat'a göre daha ince ve taşları hissettiriyor ve kolayca zedelenebiliyor ucuz ama beni idare etsin istiyorsanız ve soğuk aylarda değilde yazlık yerlerde kullancaksanız gayet iyi ama kış için kullanım yapacaksanız kalın olanı seçmeniz gerekmekte,"Bünyamin, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-09,ok,"Tania mata, za tą cenę może być.","Mateusz, Poland",Yes,No response,2025-04,Poland
4,2025-04-07,Başlangıç için uygun,başlangıç için güzel bir ürün,"Aleyna, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-07,Podreczna opcja,Dobra opcja na wypad pod namiot,"Klaudia, Poland",Yes,No response,2025-04,Poland
5,2025-04-04,Produkt spełnia moje oczekiwania.,Odpowiedni,"Tomasz, Poland",Yes,No response,2025-04,Poland
5,2025-04-03,Klasyka kempingu,Lekka i komfortowa do spania,"Katarzyna, Poland",Yes,No response,2025-04,Poland
4,2025-04-02,tout a fait correct,article tout à fait correct eu égard à son prix un peu fragile mais pour le prix c'est correct,"christelle, France",Yes,No response,2025-04,France
4,2025-04-02,çadır zemini için ideal,Ürün çok kalın değil. Çadır alt zemin için kullanılabilir. Rulo yaparak kendi lastiğine satabilirsiniz. Ancak lastikleri çok kaliteli değil.,"ahmed, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-02,Kullanışlı,Doga yuruyusunde kullaniyorum hafif olması tasıma kolaylığı sagliyor .yemek yerken kullaniyorum soguk hafalarda direk toprakla temasımi engelledigi icin daha saglıklı kalıyorum.tavsiye ederim,"Yasemin, Türkiye",Yes,No response,2025-04,Türkiye
4,2025-04-02,Güzel,Daha iyi seçenekler var mı? Evet. İş görüyor mu? Kesinlikle evet. Bence fp ürünü. Tavsiye ederim.,"Zeynep Gülce, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-01,buono,buon prodotto,"Giusi, Italy",Yes,No response,2025-04,Italy
5,2025-03-31,Simple et efficace,Tapis de sol simple et efficace. Bon rapport qualité-prix.,"sabine, France",Yes,"Bonjour Sabine,  Ravi que ce produit vous convienne parfaitement.  A très vite dans votre magasin Decathlon L'équipe Decathlon Mainvilliers  Theo",2025-03,France
5,2025-03-31,f/p,ürün orta kalite kenarlarında biraz yıpranma vardı dert etmedim,"Ferhat, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-31,f/p,"Arkadaşlar eğer yaz tatillerinde kullanmak isterseniz gayet iş görür. Uzun ve fazla yer kaplamıyor, yalıtımı idare eder. Eksi yanları biraz dar o kadar.","Bilal, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-27,Konfor,Konforlu iyi fiyat iyi kalite,"Kübra, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-26,Soddisfatto,Buon rapporto qualità prezzo,"GIANBATTISTA, Italy",Yes,No response,2025-03,Italy
5,2025-03-25,Hafif bir ürün,Ürün oldukça hafif ve rahat,"Ahmet, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-20,Tam ihtiyaç,Çadır v.s için çok kullanışlı bir ürün.,"Ferhat, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-20,No Title,"Might have been better if a little more thicker. Affordable, and I should commend it as a good buy.","Dianna Mae, Philippines",Yes,No response,2025-03,Philippines
5,2025-03-20,No Title,HELPED IN INSULATING FROM THE COLDNESS OF THE GROUND AT THE CAMPSITE,"Gerald, Philippines",Yes,No response,2025-03,Philippines
5,2025-03-19,hafif ve güzel,hafif kaliteli ve güzel,"Özgür, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-18,Yumuşak bir uyku deneyimi,Ürünü kız arkadaşımla severek kullanıyoruz. Katlandığında biraz büyük kalıyor fakat mükemmel iş görüyor.,"Harun Rahmi, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-18,kullanışlı,tavsiye ederim,"çiğdem, Türkiye",Yes,No response,2025-03,Türkiye
4,2025-03-17,Dobra karimata,"Używam jej jako podkład pod materac lub do prac obozowych na biwaku, jako ""podłoga"" przy hamakowaniu i w tej roli sie sprawdza.","Tomasz, Poland",Yes,No response,2025-03,Poland
5,2025-03-17,teşekkürler,teşekkürler,"salih, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-15,Értékelés,Szuper,"Vera, Hungary",Yes,No response,2025-03,Hungary
5,2025-03-15,léger,fait le job pour de l'ccasionnel,"Cécilia , France",Yes,No response,2025-03,France
4,2025-03-14,basique,"Petit matelas tout simple que j’utilise en dessous d’un matelas autogonflant. très basique mais il fait bien le job et dépanne bien pour se poser au sec autour d’un feu, sur un sol caillouteux ou comme petite couche isolante/de protection en dessous d’un matelas gonflable.","robin, Belgium",Yes,No response,2025-03,Belgium
5,2025-03-14,confortable,"esterilla para mí sobrino, cómoda y ligera","Carlos, Spain",Yes,No response,2025-03,Spain
5,2025-03-11,iş görür başlangıç seviyesi mat,Ekonomik mat başlangıç için iyi,"mustafa, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-10,Polifoam,Kemping célnak megfelelő,"Amália, Hungary",Yes,No response,2025-03,Hungary
4,2025-03-10,Matelas hyper léger,Pour ceux qui cherchent à alléger leur sac de randonnée ce matelas est parfait.,"Aline, France",Yes,No response,2025-03,France
2,2025-03-05,produktem roku to nie będzie,ot zwykła mata maksymalnie na 2 noce. Jeśli ktoś planuje spontaniczny sen to jak najbardziej. Na częste wyjazdu należy zainwestować w coś lepszego :).,"Dawid, Poland",Yes,"Panie Dawidzie,  dziękujemy za zamieszczenie opinii na temat naszej maty trekkingowej Forclaz MT100. Nasza mata faktycznie zapewnia minimalny komfort spania (0,7 mm grubości). Świetnie nadaje się jako podkład pod materac dmuchany, kiedy chcemy zabezpieczyć go przed przebiciem lub jako rozwiązanie chwilowe. Serdecznie polecamy nasze trekkingowe materace dmuchane. Są grubsze co automatycznie zwiększa komfort spania. Polecam te z linku poniżej.  https://www.decathlon.pl/search?Ntt=materac%20trekkingowy&facets=brandLabel:FORCLAZ_  Pozdrawiam,   Małgorzata, Decathlon Nowy Sącz",2025-03,Poland
5,2025-03-03,No Title,ottimo per la stagione estiva,"Laura, Italy",Yes,No response,2025-03,Italy
3,2025-03-03,No Title,นุ่มไม่เลื่อนง่าย,"ศิริวรรณ, Thailand",Yes,สวัสดีค่ะคุณ ศิริวรรณ  ขอบคุณมากค่ะที่เลือกใช้ที่นอนโฟมรุ่น Arpenaz M100 ของเรา เราดีใจที่คุณพอใจกับความนุ่มและคุณสมบัติที่ไม่เลื่อนง่ายของที่นอน หากมีคำถามหรือข้อเสนอแนะเพิ่มเติม เรายินดีรับฟังเสมอค่ะ  Pornpat,2025-03,Thailand
5,2025-03-02,No Title,Molto comodo per tenda ma anche su pavimento. Utilizzabile anche come tappetino da fitness.,"Paolo, Italy",Yes,No response,2025-03,Italy
5,2025-02-27,kamp,çadır içinde kullanmak için aldık ve kullandık ve hala kullaniyoruz süper bir urun,"Kerim, Türkiye",Yes,No response,2025-02,Türkiye
5,2025-02-25,No Title,"Karimatku vozím ustřiženou v autě na plocho v kufru jako příležitostnou plochu pro sezení, ležení a cokoliv dalšího, také je vhodná po nastříhání i jako obalovací materiál na skleněné lahve, když nechcete řešit ""bubliny"". Na jiné než nouzové 1 noční spaní bych ji ale určitě nebral.","Demon, Czechia",Yes,No response,2025-02,Czechia
3,2025-02-24,No Title,Not as thick and protective from terrain. Not produced comfort I expected. Sweaty on back as you lie down,"Warren, Philippines",Yes,No response,2025-02,Philippines
5,2025-02-22,Zawsze w pogotowiu,"Karimata, po którą zawsze wracam. Normalnie śpię na dmuchanej macie, ale ta karimata uratowała nie raz. Tania i dobra ;)","Alicja, Poland",Yes,No response,2025-02,Poland
3,2025-02-21,No Title,Very nice and best quality,"kolbo, India",Yes,No response,2025-02,India
4,2025-02-21,No Title,good,"Ashish, India",Yes,No response,2025-02,India
5,2025-02-20,karimata,polecam,"Anna, Poland",Yes,No response,2025-02,Poland
5,2025-02-20,Excellent,Excellent,"remi, France",Yes,No response,2025-02,France
5,2025-02-19,Matrac alátét,"Évek óta használom sátorba, matrac alá. Kerékpárron, csomagtartóra könnyen felszerelhető. A súlya megfelelő. A szélessége nem annyira jó, határeset. Jó lenne egy min. 60, de inkább 70 cm-es változat.","Péter, Hungary",Yes,No response,2025-02,Hungary
5,2025-02-18,karimata,"Bardzo ok. testowana tylko w pomieszczeniach do spania na podłodze, ale sprawdziła się.","Anna, Poland",Yes,No response,2025-02,Poland
5,2025-02-13,No Title,Buon materassino da usare sia in campeggio che in casa per nottate in emergenza. Pesa un pochino ma è dovuto alla qualità del materiale che un minimo di pesantezza richiede.,"Sandro, Italy",Yes,No response,2025-02,Italy
5,2025-02-10,Pas trop epais mais…,Pas trop epais mais avec un bon duvet ça passe,"Christelle, France",Yes,No response,2025-02,France
5,2025-02-10,zamansız bir ürün,zamansız bir ürün. fiyat/performans. evde mutlaka bulunmalı.,"Samed, Türkiye",Yes,No response,2025-02,Türkiye
5,2025-02-10,Karimata,"Bardzo dobra karimata, która sprawdza się na wycieczkach.","Michał, Poland",Yes,No response,2025-02,Poland
5,2025-02-09,très bien,"isole parfaitement du sol froid et humide . De bonne qualité, je l'utilise très régulièrement depuis plus d'un an et il n'a pas bougé.","Emilia, France",Yes,No response,2025-02,France
5,2025-02-08,Bom,Bom!,"Eliete, Portugal",Yes,No response,2025-02,Portugal
5,2025-02-07,Komentarz,Fajna lekka karimata używana do spania w chamaku. Cena adekwatna do jakości,"Bartłomiej, Poland",Yes,No response,2025-02,Poland
5,2025-02-06,matelas,très bon rapport qualité prix,"Sonia, France",Yes,No response,2025-02,France
5,2025-02-06,super,polecam,"Tetiana, Poland",Yes,No response,2025-02,Poland
5,2025-02-06,Bence fiyat performans,Bir eksisi yok,"Mikey, Türkiye",Yes,No response,2025-02,Türkiye
4,2025-02-03,Esterilla,Perfecto,"Lidia, Spain",Yes,No response,2025-02,Spain
5,2025-02-03,güzel,Kaliteli,"samet, Türkiye",Yes,No response,2025-02,Türkiye
5,2025-01-31,Güzel,"Kampta yatak altına koymak için almıştık, fiyat performans olarak güzel.","Nergis, Türkiye",Yes,No response,2025-01,Türkiye
4,2025-01-29,Bon pour quelques nuit,"Parfait pour le trek, bonne isolation","Thomas, France",Yes,No response,2025-01,France
4,2025-01-29,Esterilla,Practica esterilla para múltiples aplicaciones,"Miguel Angel, Spain",Yes,No response,2025-01,Spain
5,2025-01-29,...,...,"..., Switzerland",Yes,No response,2025-01,Switzerland
5,2025-01-29,Tapis super polyvalent,J’ai utilisé ce tapis de sol de façon quotidienne durant deux mois lors d’une randonnée en Nouvelle-Zelande. Il m’a servit de: *En complément de mon matelas gonflable pour isoler le froid du sol *Tapis de stretching *Matelas pour chiller pendant les pauses Au top !,"Nerea, Switzerland",Yes,No response,2025-01,Switzerland
5,2025-01-28,Excelente producto,No pasa la humedad y muy cómodo,"irma, Mexico",Yes,No response,2025-01,Mexico
5,2025-01-28,Good foam,Comfortable and light,"Mohammed, United Kingdom",Yes,"Hi, Thank you for the 5* product review! We’re thrilled to hear that you’re happy with your purchase. We appreciate the time you have taken to review this product and that you have shared your good experience to help others make a purchase.  We hope to see you back soon.  Kind regards,  Dean",2025-01,
5,2025-01-27,No Title,Ok,"Stanislav, Czechia",Yes,No response,2025-01,Czechia
5,2025-01-27,No Title,Good for camping,"Ajit, India",Yes,No response,2025-01,India
4,2025-01-26,No Title,soddisfatto del prodotto per esigenza una tantum di campeggio estivo all'aperto,"Paola, Italy",Yes,No response,2025-01,Italy
5,2025-01-25,ottimo prodotto,ottimo prodotto,"Massimo, Italy",Yes,No response,2025-01,Italy
5,2025-01-24,Comodo,Isola dal freddo,"Giovanni, Italy",Yes,No response,2025-01,Italy
4,2025-01-21,No Title,"Na to kvůli čemu jsme ji pořizovali , dostačující :-) Kdybychom chtěli lepší, tak koupíme lepší :-)","Zbyněk, Czechia",Yes,No response,2025-01,Czechia
