Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
5,2025-05-13,No Title,Perfetti,"MARIA, Italy",Yes,No response,2025-05,Italy
5,2025-05-12,No Title,Offrono un buon supporto durante gli allenamenti con pesi. Facili da indossare grazie alla chiusura a strappo. Il materiale è resistente e non si deforma con l’uso. Ideali per chi cerca un sostegno extra durante gli esercizi di sollevamento. Un accessorio semplice ma efficace. ￼ ￼,"Francesco, Italy",Yes,No response,2025-05,Italy
5,2025-05-11,No Title,tutto ok,"Jeffrey, Italy",Yes,No response,2025-05,Italy
5,2025-05-09,No Title,Super quality,"Deepak, India",Yes,No response,2025-05,India
5,2025-05-09,ottima rapporto qualità-prezzo,"io faccio calistenichs, offrono un ottima stabilità al polso e non sono scomodi","Mendola, Italy",Yes,No response,2025-05,Italy
5,2025-05-08,Vladimir,Ottimi,"Vladimir, Italy",Yes,No response,2025-05,Italy
5,2025-05-07,No Title,"Permette di aver un buon sostegno per il polso, da quando ce le ho è tutto un altro tipo di allenamento","Ale, Italy",Yes,No response,2025-05,Italy
5,2025-05-07,No Title,Ottimo prodotto,"Dima, Italy",Yes,No response,2025-05,Italy
5,2025-05-06,No Title,"Buen diseño y calidad de materiales, sujeción perfecta, calidad precio insuperable.","Miguel, Spain",Yes,No response,2025-05,Spain
5,2025-05-06,No Title,"Acayip iyi kavrıyor bilekleri, sert bir yapısı var.","Emre, Türkiye",Yes,No response,2025-05,Türkiye
5,2025-05-06,poprawa chwytu,"stabilne, poprawiają chwyt, rozmiar dopasowany, nie trzeba brać poprawek jak w przypadku niektórych produktów. polecam","Alicja, Poland",Yes,No response,2025-05,Poland
5,2025-05-04,No Title,Prodotto valido e buon rapporto qualità prezzo,"MANUEL, Italy",Yes,No response,2025-05,Italy
5,2025-05-02,Ras top 👌,"Parfait, il remplit très bien son rôle ! Bon rapport qualité-prix.","Baptiste, France",Yes,No response,2025-05,France
5,2025-04-28,No Title,Bileğim ağrıdığı için spor yaparken kullanmak için aldım. Güzel destek oluyor. Çok az yer kaplıyor.,"MUSTAFA, Türkiye",Yes,No response,2025-04,Türkiye
5,2025-04-25,No Title,很满意哟，性价比高。,"中国客户, China",Yes,No response,2025-04,China
5,2025-04-22,No Title,"Danno un grande aiuto negli esercizi di spinta, tengono ben saldi i polsi e ti danno più sicurezza.","carlo, Italy",Yes,No response,2025-04,Italy
5,2025-04-20,Davvero ben fatto,Di ottima fattura.,"Alessio Domenico, Italy",Yes,No response,2025-04,Italy
5,2025-04-19,polsiere palestra,superiori alle aspettative,"ALESSIO, Italy",Yes,No response,2025-04,Italy
5,2025-04-18,No Title,"Works fine for me, would recommend this product","Austin, Malaysia",Yes,No response,2025-04,Malaysia
4,2025-04-18,No Title,保护腕部,"中国客户, China",Yes,No response,2025-04,China
5,2025-04-16,No Title,wearing this during my weight lifting is very stable,"Wei Lee, Malaysia",Yes,No response,2025-04,Malaysia
1,2025-04-16,No Title,"超短的纏繞帶, 長度不到30cm, 連一圈半都繞不到, 完全沒有護腕功能, 這是在迪卡農買過最後悔的產品!","Lambert, Taiwan",Yes,No response,2025-04,Taiwan
5,2025-04-15,protection main,bonne accroche et facile à utiliser,"CARINE, France",Yes,No response,2025-04,France
5,2025-04-14,No Title,"cứng cáp, bảo vệ cổ tay tốt và hỗ trợ tốt khi nâng tạ nặng","Dang Khoa, Vietnam",Yes,No response,2025-04,Vietnam
5,2025-04-08,No Title,非常感谢，非常好用,"中国客户, China",Yes,No response,2025-04,China
5,2025-04-07,Csuklószorító testépítéshez,Jó !,"Szilárd, Hungary",Yes,No response,2025-04,Hungary
5,2025-04-05,No Title,满意,"中国客户, China",Yes,No response,2025-04,China
5,2025-04-03,No Title,好好好,"中国客户, China",Yes,No response,2025-04,China
5,2025-04-02,Non valgono la spesa,"Poco regolabili, sono poco elastici e non garantiscono stabilitá, gli ho provati in esercizi di pesistica e corpo libero, lasciano solo segni visibili per ore sulla pelle ma nn aiutano per nulla. Hanno delle etichette che al momento dell'utilizzo danno fastidio alla chiusura del velcro(ignaro di tutte queste problematiche) le ho staccate ma ora LE RIDAREI VOLENTIERI INDIETRO.","davide, Italy",Yes,No response,2025-04,Italy
5,2025-04-02,No Title,很好用，可以很好保护手腕,"中国客户, China",Yes,No response,2025-04,China
5,2025-04-01,Csuklóvédő,Segít felsőtest ezdésben,"Bernadett, Hungary",Yes,No response,2025-04,Hungary
4,2025-03-25,Kaliteli,Gayet güzel ve kullanışlı,"Koray, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-24,Çok kaliteli,"Bileği iyi kavrıyor kumaşı da çok iyi, sağlam.","Önder, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-24,kaliteli,decathlon en iyisi ve spora teşvik ediyor,"yusuf, Türkiye",Yes,No response,2025-03,Türkiye
5,2025-03-24,No Title,Good,"Ahmed, Malaysia",Yes,"Dear Ahmed, thank you for your time in leaving us with a 5-Star rating on our product. We are glad that we managed to delight you with the standards of our product. We really appreciate your loyalty with Decathlon. Please let us know if there is anything else we can improve on in the future. Thank you once again for your time and we hope to serve you again soon!  Best regards, Azam, Sports Advisor, Fitness Department, Decathlon KLCC.",2025-03,Malaysia
5,2025-03-20,No Title,保护手腕更好进行力量训练营,"中国客户, China",Yes,No response,2025-03,China
5,2025-03-19,Très pratique,"À la suite d’une opération du poignet, j’ai une faiblesse dans le gauche, c’est parfait pour compenser !! Plus de soucis lors du port de barre lourde !!","JORIS, France",Yes,No response,2025-03,France
4,2025-03-17,No Title,good feel,"Anonymous Author, Hong Kong SAR China",Yes,No response,2025-03,
5,2025-03-16,je recommande,très bon produit pas cher efficace,"GLORIA, France",Yes,No response,2025-03,France
5,2025-03-16,No Title,Hàng dày dặn chặt chẽ,"Anonymous Author, Vietnam",Yes,No response,2025-03,Vietnam
5,2025-03-13,No Title,Bền đẹp,"Anonymous Author, Vietnam",Yes,"Xin chào bạn,  Decathlon cảm ơn bạn đã dành thời gian chia sẻ trải nghiệm của bạn với sản phẩm tại Decathlon Việt Nam.  Đánh giá này của bạn sẽ giúp cho những khách hàng khác của Decathlon hiểu hơn về thông tin chung, tính năng cũng như những điểm nổi bật của sản phẩm.  Ngoài ra, đánh giá này cũng giúp cho bộ phận sản xuất có thêm động lực để không ngừng nâng cao chất lượng sản phẩm mỗi ngày.  Chúc bạn và gia đình sẽ có thêm nhiều trải nghiệm thể thao cùng Decathlon.  Trân trọng, Decathlon Việt Nam.  Ha",2025-03,Vietnam
5,2025-03-11,parfait,apportent un bon maintien des poignets lors des exercices,"Frederic, France",Yes,No response,2025-03,France
5,2025-03-10,No Title,超级好用,"中国客户, China",Yes,No response,2025-03,China
5,2025-03-07,No Title,GOOD,"Naresh, India",Yes,No response,2025-03,India
5,2025-03-06,Pratique et pas chère,Bon maintient et pratique,"Chris, France",Yes,No response,2025-03,France
5,2025-03-05,No Title,gives such a nice grip and no more sweaty hand,"Anonymous Author, Thailand",Yes,No response,2025-03,Thailand
5,2025-03-04,No Title,Very nice,"vishnu, India",Yes,No response,2025-03,India
1,2025-03-04,not worth it,i bought this from viviana mall thane decathlon store after 2 week the strap velcro getting loose,"r, India",Yes,"Hello R, We’re really sorry to hear that you’re experiencing issues with the weight training wrist straps after just two weeks of use. We understand how frustrating it can be when a product doesn’t perform as expected, especially with something that is designed for support during your workouts.  Could you please share more details about how the strap is loosening? Is it not staying secure during use, or is the velcro itself wearing out? Your feedback will help us assess the quality and durability of this product and make necessary improvements.  We take product quality very seriously, and your experience will be reviewed to ensure we provide better, more reliable products in the future. Thank you for bringing this to our attention, and we hope to resolve the issue in a way that works for you.  We truly appreciate you sharing your thoughts, and we’re committed to offering you a better experience moving forward.  Sportingly, Sagar Gocher Sports ambassador Running United",2025-03,India
5,2025-03-04,No Title,质量很好很喜欢,"中国客户, China",Yes,No response,2025-03,China
5,2025-03-01,Ok ras,Parfait fait le job,"Mickaël, France",Yes,No response,2025-03,France
4,2025-02-27,Ajoute du poids mais glisse 1 peu,"Bonne tenue dans le temps, petit bémol sur le serrage","Virginie, France",Yes,No response,2025-02,France
