Rating,Date,Title,Content,Reviewer,Verified,Brand Response,YearMonth,Country
5,2023-10-06,Très satisfait,Cette cartable est du très bon qualité avec son prix qu’il est parfait,"Gumeri, Tunisia",Yes,"Bonjour Mr.Gumeri,  Nous vous remercions chaleureusement pour votre avis positif !  Nous sommes ravis d'apprendre que vous trouvez votre produit d'un bon rapport qualité-prix et que le Sac à dos s'est avéré efficace et pratique pour vous. La satisfaction de nos clients est notre priorité et il est encourageant de voir que notre produit répond à vos besoins. Votre retour est précieux pour nous et nous espérons avoir l'opportunité de vous servir à nouveau dans le futur.  Encore merci pour votre confiance en notre produit !  Bonne journée !  Rawen Conseillère Service Client",2023-10,Tunisia
4,2023-10-06,Bon achat,Produit pas mal,"Nul, Tunisia",Yes,"Bonjour Badis,  Merci infiniment pour votre retour positif  Nous sommes ravis que vous ayez apprécié notre produit.  Bonne journée :)  Rawen Conseillère Service Client",2023-10,Tunisia
4,2023-09-06,Sac à dos,Pratique léger,"Hayfa, Tunisia",Yes,"Bonjour Haifa, Je vous remercie pour votre avis C'est gratifiant de voir que notre produit répond à vos besoins et vous satisfait. Excellente journée à vous  Sportivement Hassine Conseiller Service Client",2023-09,Tunisia
5,2023-04-17,trés bon produit,très bon produit,"Habib, Tunisia",Yes,"Bonjour, je vous remercie pour votre avis et pour cette super note 🙂 c'est un plaisir de lire votre satisfaction.  Meriam Sportif satisfait c'est mon métier",2023-04,Tunisia
4,2023-01-26,Bon produit,Je recommande,"Abdelhalim, Tunisia",Yes,"Bonjour, Merci pour ce retour au TOP, vous êtes génial! Je suis ravie que votre expèrience s’est bien passée comme vous l’avez souhaité  Meriam Sportif satisfait c'est mon métier",2023-01,Tunisia
5,2022-10-31,Ok,Good job,"Walid, Tunisia",Yes,"bonjour  Nous sommes fiers de votre avis , car votre satisfaction est notre première priorité .    meriam :) Sportifs satisfaits c'est mon métier",2022-10,Tunisia
5,2022-10-24,Décathlon le meilleur en produits sportif,Design et dureté incomparable,"Guesmi, Tunisia",Yes,bonjour  Merci pour votre avis. je suis content que vous êtes satisfait.    meriam :) Sportifs satisfaits c'est mon métier,2022-10,Tunisia
4,2025-05-16,No Title,Bom produto.,"Rui, Portugal",Yes,No response,2025-05,Portugal
4,2025-05-16,No Title,Snelle levering en prima product,"Peter, Netherlands",Yes,No response,2025-05,Netherlands
5,2025-05-16,No Title,"Fazla gözü yok ancak fiyat olarak çok iyi. İş görüyor, 20lt yakın kapasitesi var, hafif. Günlük kullanım için veya 1 günlük seyahat için yeterli.","Yasin, Türkiye",Yes,No response,2025-05,Türkiye
